100 Capitalist Cats,0.0,false,Cats Hidden Object Free to Play Puzzle
Intravenous 2: Mercenarism,0.0,false,Tactical Realistic Shooter Singleplayer
Turnip Boy Robs a Bank,7.0,true,Action Adventure 2D Action-Adventure
Three Kingdoms Zhao Yun,9.0,true,Action RPG Exploration Hack and Slash Historical
Immortal Life,1.0,true,Agriculture Crafting Farming Sim Life Sim
First Cut: Samurai Duel,4.0,true,Side Scroller Hack and Slash Martial Arts PvE
TEST TEST TEST,0.0,false,Puzzle 2D Cute Top-Down
No Case Should Remain Unsolved,3.0,true,Interactive Fiction Adventure Point & Click Visual Novel
Dominions 6 - Rise of the Pantokrator,3.0,true,Strategy 4X Turn-Based Strategy Asynchronous Multiplayer
Home Safety Hotline,7.0,true,1990's Horror Interactive Fiction Point & Click
Artifact Seeker:Prologue,0.0,false,Action Singleplayer 3D Action RPG
Legendary Hoplite: Arachne’s Trial,0.0,false,RPG Strategy Tower Defense Action
Frostrain,0.0,false,Roguelike Deckbuilder Strategy Simulation Deckbuilding
BoardLand,0.0,false,Strategy Board Game Turn-Based Combat Strategy RPG
The Last Flame: Prologue,0.0,false,Strategy Auto Battler Adventure Roguelike
Summoners War,0.0,false,Free to Play Strategy RPG RTS
Portal: Revolution,0.0,false,Puzzle Singleplayer Mod First-Person
Winter Memories,2.0,false,Sexual Content Hentai Mature Nudity
Esports Godfather Origin,0.0,false,Strategy Card Game Turn-Based Strategy Turn-Based Tactics
Snowbreak: Containment Zone,0.0,false,Third-Person Shooter RPG Action Shooter
United Penguin Kingdom: Huddle up,0.0,false,Strategy City Builder Survival Casual
100 Asian Cats,0.0,false,Ninja Cats Hidden Object Free to Play
One-armed robber,0.0,false,Action Multiplayer Simulation Free to Play
(the) Gnorp Apologue,3.0,false,Clicker Idler Strategy Roguelite
Five Nights at Freddy's: Help Wanted 2,1.0,false,VR Horror Singleplayer Robots
House Flipper 2,1.0,false,Simulation Design & Illustration Building Casual
Granblue Fantasy Versus: Rising,4.0,false,Action 2D Fighter Multiplayer eSports
Ready or Not,3.0,false,Tactical Realistic FPS Shooter
Taora : Beginning,0.0,false,Looter Shooter Sandbox Third-Person Shooter Archery
Against the Storm,9.0,true,Strategy Simulation Base Building City Builder
Palworld,1.0,true,Multiplayer Open World Survival Creature Collector
Steam Deck,0.0,false,""
Counter-Strike 2,0.0,false,FPS Shooter Multiplayer Competitive
EA SPORTS FC™ 24,2.0,true,Football (Soccer) Sports Controller PvP
Baldur's Gate 3,3.0,false,RPG Choices Matter Character Customization Story Rich
Lethal Company,5.0,false,Online Co-Op Horror First-Person Psychological Horror
PUBG: BATTLEGROUNDS,0.0,false,Survival Shooter Battle Royale Multiplayer
Warframe,0.0,false,Free to Play Action RPG Looter Shooter Third-Person Shooter
Apex Legends™,0.0,false,Free to Play Battle Royale Multiplayer Shooter
Call of Duty®,0.0,false,FPS Multiplayer Shooter Action
Forza Horizon 5,1.0,true,Racing Open World Driving Multiplayer
TEKKEN 8,5.0,false,Action Fighting 3D Fighter Multiplayer
Like a Dragon: Infinite Wealth,6.0,false,Action Adventure JRPG Turn-Based Combat
Grand Theft Auto V,0.0,false,Open World Action Multiplayer Crime
War Thunder,0.0,false,Free to Play Vehicular Combat Combat World War II
NARAKA: BLADEPOINT,0.0,false,Battle Royale Multiplayer Martial Arts PvP
Palworld - Soundtrack,3.0,false,""
Tom Clancy's Rainbow Six® Siege,1.0,false,FPS PvP eSports Tactical
THE FINALS,0.0,false,Multiplayer Shooter FPS Free to Play
Call of Duty®: Warzone™,0.0,false,Free to Play Multiplayer FPS Battle Royale
Cult of the Lamb,7.0,true,Base Building Cute Action Roguelike Character Customization
Hellblade: Senua's Sacrifice,2.0,true,Atmospheric Psychological Story Rich Female Protagonist
Ready or Not,3.0,false,Tactical Realistic FPS Shooter
Euro Truck Simulator 2,2.0,true,Driving Transportation Simulation Open World
